ccn,cms_name,cms_name_as_of,state,hospital_type,ownership,beds,latitude,longitude,prior_names
501333,KITTITAS VALLEY COMMUNITY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,26.0,46.987688,-120.536761,
501334,LAKE CHELAN COMMUNITY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,24.0,47.845139,-120.010511,
501335,ST ELIZABETH HOSPITAL,2023-10,WA,Critical Access,Voluntary non-profit - Private,25.0,47.208417,-121.988157,
501336,MASON GENERAL HOSPITAL & FAMILY OF CLINICS,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,47.226742,-123.115279,
501337,LOURDES MEDICAL CENTER,2023-10,WA,Critical Access,Voluntary non-profit - Church,35.0,46.235026,-119.094436,
501338,SNOQUALMIE VALLEY HOSPITAL,2023-10,WA,Critical Access,Government - Hospital District or Authority,26.0,47.512309,-121.885917,
501339,WHIDBEYHEALTH MEDICAL CENTER,2023-10,WA,Critical Access,Government - Hospital District or Authority,25.0,48.21424,-122.686122,WHIDBEY GENERAL HOSPITAL
501340,PEACEHEALTH PEACE ISLAND MEDICAL CENTER,2023-10,WA,Critical Access,Voluntary non-profit - Private,10.0,48.529857,-123.028171,
503300,SEATTLE CHILDREN'S HOSPITAL,2023-10,WA,Childrens,Voluntary non-profit - Private,320.0,47.664504,-122.283169,
503301,MARY BRIDGE CHILDREN'S HOSPITAL,2023-10,WA,Childrens,Voluntary non-profit - Other,82.0,,,
503302,SHRINERS HOSPITAL FOR CHILDREN,2023-10,WA,Childrens,Voluntary non-profit - Private,,47.651398,-117.425957,
530002,CAMPBELL COUNTY HEALTH,2023-10,WY,Acute Care,Government - Hospital District or Authority,225.0,44.289846,-105.519557,CAMPBELL COUNTY MEMORIAL HOSPITAL
530006,SHERIDAN MEMORIAL HOSPITAL,2023-10,WY,Acute Care,Government - Local,68.0,44.807425,-106.97557,
530008,SAGEWEST HEALTH CARE,2023-10,WY,Acute Care,Proprietary,124.0,43.033667,-108.418654,RIVERTON MEMORIAL HOSPITAL
530010,LANDER REGIONAL HOSPITAL,2015-07,WY,Acute Care,Proprietary,88.0,,,SAGEWEST HEALTH CARE-LANDER
530011,MEMORIAL HOSPITAL SWEETWATER COUNTY,2023-10,WY,Acute Care,Government - Local,68.0,41.58406,-109.233578,MEMORIAL HOSPITAL OF SWEETWATER COUNTY
530012,WYOMING MEDICAL CENTER,2023-10,WY,Acute Care,Government - Local,194.0,42.848718,-106.308753,
530014,CHEYENNE REGIONAL MEDICAL CENTER,2023-10,WY,Acute Care,Voluntary non-profit - Other,222.0,41.139789,-104.817036,
530015,ST JOHNS MEDICAL CENTER,2023-10,WY,Acute Care,Government - Hospital District or Authority,162.0,43.479695,-110.749986,
530025,IVINSON MEMORIAL HOSPITAL,2023-10,WY,Acute Care,Government - Hospital District or Authority,87.0,41.31139,-105.557512,
530032,EVANSTON REGIONAL HOSPITAL,2023-10,WY,Acute Care,Proprietary,32.0,41.242214,-110.991336,
530033,MOUNTAIN VIEW REGIONAL HOSPITAL,2019-10,WY,Acute Care,Proprietary,23.0,,,
530034,SUMMIT MEDICAL CENTER,2023-10,WY,Acute Care,Physician,16.0,42.840846,-106.231796,
530035,ASPEN MOUNTAIN MEDICAL CENTER,2020-10,WY,Acute Care,Proprietary,,41.603187,-109.247917,
531301,SOUTH BIG HORN COUNTY HOSPITAL,2023-10,WY,Critical Access,Government - Hospital District or Authority,45.0,44.434449,-108.049007,SOUTH BIG HORN COUNTY CRITICAL ACCESS HOSPITAL
531302,MEMORIAL HOSPITAL OF CONVERSE COUNTY,2023-10,WY,Critical Access,Voluntary non-profit - Other,25.0,42.758805,-105.381279,
531303,WESTON COUNTY HEALTH SERVICES,2023-10,WY,Critical Access,Government - Hospital District or Authority,71.0,43.848747,-104.188756,
531304,HOT SPRINGS COUNTY MEMORIAL HOSPITAL,2023-10,WY,Critical Access,Government - Local,22.0,43.647432,-108.19959,
531305,PLATTE COUNTY MEMORIAL HOSPITAL,2023-10,WY,Critical Access,Government - Local,25.0,42.04981,-104.960221,
531306,WASHAKIE MEDICAL CENTER,2023-10,WY,Critical Access,Government - Local,22.0,44.013556,-107.948409,
531307,COMMUNITY HOSPITAL,2023-10,WY,Critical Access,Voluntary non-profit - Private,25.0,42.081765,-104.191509,
531308,JOHNSON COUNTY HEALTHCARE CENTER,2023-10,WY,Critical Access,Government - Hospital District or Authority,68.0,44.349788,-106.707248,
531309,NORTH BIG HORN HOSPITAL DISTRICT,2023-10,WY,Critical Access,Government - Hospital District or Authority,99.0,44.825799,-108.390688,
531310,POWELL VALLEY HOSPITAL,2023-10,WY,Critical Access,Government - Hospital District or Authority,125.0,44.756622,-108.770547,
531311,CROOK COUNTY HOSPITAL,2023-10,WY,Critical Access,Government - Hospital District or Authority,48.0,44.40883,-104.373596,CROOK COUNTY MEMORIAL HOSPITAL
531312,CODY REGIONAL HEALTH,2023-10,WY,Critical Access,Government - Hospital District or Authority,126.0,44.526071,-109.073576,WEST PARK HOSPITAL DISTRICT
531313,STAR VALLEY MEDICAL CENTER,2023-10,WY,Critical Access,Government - Hospital District or Authority,45.0,42.71725,-110.931461,
531314,NIOBRARA COUNTY HOSPITAL DISTRICT,2023-10,WY,Critical Access,Government - Hospital District or Authority,24.0,42.753278,-104.446083,NIOBRARA HEALTH & LIFE CENTER
531315,SOUTH LINCOLN MEDICAL CENTER - CAH,2023-10,WY,Critical Access,Government - Hospital District or Authority,38.0,41.78958,-110.540607,
531316,MEMORIAL HOSPITAL OF CARBON COUNTY,2023-10,WY,Critical Access,Government - Local,25.0,41.786763,-107.260673,
